order_id,customer_id,order_date,order_status,shipping_id,payment_id,billing_address,coupon_id
34512389,110530,03/17/2023,Processing,8231,879506,"USNS Dickerson
FPO AP 15852",77198
34512390,109256,02/19/2023,Processing,5997,893484,"381 Gomez Stravenue Suite 265
Grossside, VI 81535",77905
34512391,105849,05/26/2023,Shipped,22444,888796,"47210 Mcmahon Cliff
Calderonstad, ME 46400",76517
34512392,103963,09/30/2022,Cancelled,13140,895115,"4831 Roberts Stream
Wumouth, KS 33850",77001
34512393,108386,11/02/2022,Shipped,16800,889728,"2362 Carroll Loaf Suite 248
Port Joshuaville, WA 24869",77809
34512394,107686,07/18/2023,Delivered,6814,884528,"9663 Mcmillan Extensions
Port Wendymouth, WI 41048",78183
34512395,101521,01/21/2023,Processing,13900,888335,,78022
34512396,105187,02/15/2023,Processing,14411,894663,"PSC 9267, Box 7224
APO AE 73811",77828
34512397,103033,02/06/2023,Delivered,11845,878561,"8069 Allen Pass Apt. 805
Eatonfort, MS 04356",77088
34512398,101092,01/30/2023,Shipped,17800,885183,"Unit 6662 Box 9041
DPO AE 73332",77891
34512399,110320,01/21/2023,Shipped,18737,887662,"PSC 9090, Box 8851
APO AA 29148",77914
34512400,104545,07/08/2023,Shipped,24756,891961,,77780
34512401,102059,10/04/2022,Shipped,21170,894243,,78141
34512402,107592,12/05/2022,Shipped,15965,891296,"049 Wood Station
Port Veronica, OK 76147",78046
34512403,110752,06/07/2023,Shipped,23176,891684,,78322
34512404,102190,08/03/2023,Cancelled,10070,897106,,77715
34512405,110180,11/13/2022,Delivered,20952,885219,"528 Hudson River
Antoniostad, PA 58637",77667
34512406,102508,05/09/2023,Processing,9708,888185,,77206
34512407,101580,11/21/2022,Cancelled,7780,884985,"4299 Gomez Trafficway Suite 350
Lake Dean, WA 83899",77588
34512408,105251,06/09/2023,Shipped,23740,886468,"983 Nelson Neck
Stephanieland, AK 57932",76611
34512409,102315,05/24/2023,Processing,10823,889962,"57980 Edwards Circles
Lake Sylvia, VA 07882",76616
34512410,102149,10/09/2022,Delivered,8699,890891,,77801
34512411,104139,09/05/2022,Processing,22364,894607,,77811
34512412,104539,05/19/2023,Cancelled,16685,895484,"79050 Charles Flats Suite 286
Roberthaven, ND 12344",78162
34512413,110592,03/16/2023,Delivered,13675,879163,"85396 Anthony Court
Port Brendastad, NM 74800",77982
34512414,101155,08/16/2022,Shipped,20781,888726,"99997 Janet Unions Suite 835
Port Davidberg, LA 13617",77131
34512415,105743,02/14/2023,Delivered,11857,885229,"076 Christopher Extensions Suite 647
Lake Maria, NY 76048",77511
34512416,108968,03/09/2023,Cancelled,24666,883700,"07209 Debbie Road
Middletonborough, AK 36122",78371
34512417,101252,08/01/2023,Shipped,22298,886686,"USNV Brown
FPO AP 61763",78349
