shipping_id,order_id,shipping_date,estimated_delivery_date,shipping_carrier,tracking_number,shipping_cost,shipping_address,shipping_status,created_at,updated_at
5678,34523472,04/28/2023,05/26/2023,and Sons,77dc50a2-401c-4d55-bb3f-9b1c9ded027f,76.29,"25705 Gonzalez Meadows
Port Jackview, AS 77909",Shipped,2021-03-30T15:40:21,2022-12-27T13:50:36
5679,34522714,12/25/2022,01/08/2023,and Sons,776e40b0-9144-4fbe-911a-15b591082a4c,1.07,"71165 William Springs
Lake Amyton, SD 13125",In Transit,2022-11-10T22:16:25,2022-03-26T10:36:09
5680,34530574,02/27/2023,03/04/2023,Group,79f1504d-30b7-4341-a2df-9303a09abea0,44.08,"118 Taylor Groves Suite 059
Lake Baileyfurt, MH 72997",Delivered,2020-03-12T10:16:44,2021-01-19T07:25:13
5681,34522173,07/27/2023,08/04/2023,Group,5cf3fcdf-84e8-4999-9db5-cabc44c9b1a9,94.3,"21604 Joseph Via Apt. 387
North Kaylaview, PA 01498",In Transit,2021-02-19T14:30:16,2022-02-24T05:56:31
5682,34514866,09/12/2022,09/29/2022,Ltd,582b696f-312e-4550-a6c4-475e1fc1b09f,59.44,"76281 Megan Ville Apt. 824
Port Angela, ID 22844",Cancelled,2021-05-29T21:19:23,2022-12-31T03:31:14
5683,34524937,05/17/2023,05/23/2023,and Sons,c316736e-3b49-4de6-9adb-6ecdfccc3ca1,72.11,"1839 Dickson Ports Suite 792
Harperville, MH 69186",In Transit,2020-04-14T14:02:01,2022-02-11T11:06:12
5684,34515215,03/03/2023,03/27/2023,Inc,0de2c96f-db0b-4129-87ee-fccc63137a35,25.03,"35817 Julie Valleys
Smithshire, MO 81692",In Transit,2020-07-27T10:34:45,2021-10-24T21:39:38
5685,34530888,07/27/2023,08/11/2023,Ltd,646279a4-bc93-46c8-991e-0f96b67a8056,3.72,"035 Daniel Row Apt. 091
Jacksonberg, NE 34713",Delivered,2021-11-07T07:38:46,2022-01-07T06:23:58
5686,34514093,06/04/2023,06/25/2023,Inc,073abc5a-5b25-4992-b240-b966dca5c35b,3.28,"403 Stone Way Suite 055
South Kristenbury, IA 75812",In Transit,2022-01-23T21:58:38,2023-03-20T17:06:47
5687,34518370,06/02/2023,06/13/2023,and Sons,45a3b166-e5ed-428c-b6ad-609a1a2d0312,85.56,"40688 Jesse Hill Apt. 329
New Saraland, GU 57943",Shipped,2020-11-29T14:43:41,2021-02-08T23:14:33
